ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
273,Which syntax is used to declare a new instance of a class in Ruby?,new ClassName(),ClassName.new(),ClassName.create(),B,Ruby,declaration,multiple choice
274,What is the correct way to declare an empty set (a unique collection of elements) in Ruby?,set = [],set = {},set = Set.new,C,Ruby,declaration,multiple choice
275,"To declare a multi-line string in Ruby without interpreting escape sequences, which syntax should you use?",raw_string',"""raw_string""",<<-EOT ... EOT,C,Ruby,declaration,multiple choice
276,"When declaring a local variable in a method or block, which character is used to scope the variable to the block?",@,#,$,B,Ruby,declaration,multiple choice
277,"In Ruby, which data structure allows you to associate keys with values and is similar to a Python dictionary?",Array,Tuple,Hash,C,Ruby,declaration,multiple choice
278,"To declare an empty array and assign it to a variable named ""my_array"" in a single line, you would write:",my_array = [],array my_array = [],my_array = new Array(),A,Ruby,declaration,multiple choice
279,How do you declare a constant variable within a class or module in Ruby?,constant_var: 42,constVar => 42,CONSTANT_VAR = 42,C,Ruby,declaration,multiple choice
280,"To declare a string containing interpolation (variable substitution) in Ruby, which syntax is commonly used?",String without interpolation',"""String with #{variable} interpolation""",%q(String without interpolation),B,Ruby,declaration,multiple choice
281,"To add an element to the end of an array in Ruby, you would use:",array.add(element),"array.insert(0, element)",array << element,C,Ruby,data structures,multiple choice
282,"In a singly linked list, what is the name of the reference to the next node?",next_node,prev_node,next,A,Ruby,data structures,multiple choice
283,How can you remove the last element from an array in Ruby?,array.pop,array.shift,array.delete(-1),A,Ruby,data structures,multiple choice
284,"In a binary tree, the top node is commonly referred to as the:",Root,Leaf,Branch,A,Ruby,data structures,multiple choice
285,What data structure in Ruby is similar to a stack and follows the Last-In-First-Out (LIFO) principle?,Queue,Array,Hash,B,Ruby,data structures,multiple choice
286,Which Ruby data structure allows key-value pairs and does not allow duplicate keys?,Array,Hash,Set,B,Ruby,data structures,multiple choice
287,What method is used to add an element to the beginning of an array in Ruby?,array.unshift(element),array.addFirst(element),array.push(element),A,Ruby,data structures,multiple choice
288,Which data structure is used to represent a collection of elements with no specific order or duplicates in Ruby?,Queue,Set,Hash,B,Ruby,data structures,multiple choice
289,How do you check if a key exists in a Ruby hash?,hash.exists?(key),hash.contains?(key),hash.key?(key),C,Ruby,data structures,multiple choice
290,What is the primary data structure in Ruby for storing key-value pairs?,List,Hash,Stack,B,Ruby,data structures,multiple choice
291,Which method is used to remove the first element from an array in Ruby?,array.pop,array.shift,array.delete(0),B,Ruby,data structures,multiple choice
292,"In a singly linked list, which node is typically used as the entry point to traverse the list?",Head,Tail,Root,A,Ruby,data structures,multiple choice
293,What is the Ruby data structure that represents an ordered collection of elements with duplicates allowed?,Set,Queue,Array,C,Ruby,data structures,multiple choice
294,Which data structure in Ruby is used to implement a First-In-First-Out (FIFO) order?,Stack,Hash,Queue,C,Ruby,data structures,multiple choice
295,"To add an element to the end of an array in Ruby, which method is commonly used?",array.push(element),"array.insert(-1, element)",array.last(element),A,Ruby,data structures,multiple choice
296,"In a binary tree, what is the maximum number of children a node can have in a typical binary tree?",1,2,3,B,Ruby,data structures,multiple choice
297,Which Ruby data structure is used to represent an unordered collection of unique elements?,Hash,Array,Set,C,Ruby,data structures,multiple choice
298,What method is used to check if an element is included in an array in Ruby?,array.exists?(element),array.includes?(element),array.include?(element),C,Ruby,data structures,multiple choice
299,"In a linked list, what is the time complexity for inserting an element at the end of the list?",O(1),O(Log N),O(N),A,Ruby,data structures,multiple choice
300,"In a binary search tree, which property ensures that all nodes in the left subtree are less than the root node, and all nodes in the right subtree are greater than the root node?",Balanced property,Heap property,Binary search tree property,C,Ruby,data structures,multiple choice
