ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
150,How do you declare an empty HashSet of integers in Java?,null,null,null,HashSet<Integer> set = new HashSet<Integer>();,Java,declaration,flash card
151,"To declare a constant float in Java, you should use the keyword:",null,null,null,final,Java,declaration,flash card
152,Which keyword is used to declare an interface in Java?,null,null,null,interface,Java,declaration,flash card
153,How do you declare and initialize a constant long in Java?,null,null,null,const long num = 42L;,Java,declaration,flash card
154,"To declare an empty TreeMap that maps strings to integers in Java, you would use:",null,null,null,"TreeMap<String, Integer> map;",Java,declaration,flash card
155,What is the correct way to declare a constant character in Java?,null,null,null,final char letter;,Java,declaration,flash card
156,How do you declare an empty array list of strings in Java?,null,null,null,ArrayList<String> list = new ArrayList();,Java,declaration,flash card
157,What is the correct way to declare a double array in Java?,null,null,null,double[] arr = new double[10];,Java,declaration,flash card
158,How do you declare an empty linked list of integers in Java?,null,null,null,LinkedList list = new LinkedList<Integer>();,Java,declaration,flash card
159,"To declare a constant byte in Java, you should use the keyword:",null,null,null,final,Java,declaration,flash card
160,What is the correct way to declare an array of strings in Java with initial values?,null,null,null,"String[] names = {""Alice"", ""Bob"", ""Charlie""};",Java,declaration,flash card
161,What is the correct way to initialize an array of integers in Java?,null,null,null, int[] arr = new int[10];,Java,data structures,flash card
162,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,null,null,null,Queue,Java,data structures,flash card
163,"To add an element to the end of an ArrayList in Java, you would use:",null,null,null,add(),Java,data structures,flash card
164,What is the time complexity of adding an element to the end of an ArrayList in Java?,null,null,null,O(1),Java,data structures,flash card
165,"In a binary search tree, which type of traversal visits the nodes in ascending order?",null,null,null,In-order,Java,data structures,flash card
166,What is the correct way to remove an element at a specific index from an ArrayList in Java?,null,null,null,arr.remove(index);,Java,data structures,flash card
167,Which data structure in Java is implemented as a resizable array?,null,null,null,ArrayList,Java,data structures,flash card
168,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,null,null,null,Tree,Java,data structures,flash card
169,"To search for an element in a binary search tree, what is the time complexity in the average case?",null,null,null,O(log N),Java,data structures,flash card
170,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",null,null,null,LinkedList,Java,data structures,flash card
171,"To find the number of elements in a LinkedList in Java, you would use which method?",null,null,null,size(),Java,data structures,flash card
172,"To find the number of elements in a LinkedList in Java, you would use which method?",null,null,null,size(),Java,data structures,flash card
173,What is the time complexity of searching for an element in an ArrayList in Java using the contains method?,null,null,null,O(N),Java,data structures,flash card
174,"In a linked list, which operation allows you to insert a new element at the beginning efficiently?",null,null,null,insertFirst(),Java,data structures,flash card
175,"Which data structure in Java is used to store key-value pairs, allowing for fast retrieval of values based on their associated keys?",null,null,null,HashMap,Java,data structures,flash card
176,"To remove the last element from a LinkedList in Java, you would use which method?",null,null,null,removeLast(),Java,data structures,flash card
177,What data structure in Java is used to ensure that elements are stored in sorted order?,null,null,null,TreeSet,Java,data structures,flash card
178,What is the time complexity of adding an element to the beginning of an ArrayList in Java?,null,null,null,O(N),Java,data structures,flash card
179,"Which data structure in Java is used to represent a collection of unique elements, and it does not allow duplicate values?",null,null,null,HashSet,Java,data structures,flash card
180,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,null,null,null,Queue,Java,data structures,flash card
