ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
218,How do you declare an empty linked list of integers in Java?,LinkedList list = new LinkedList<int>();,LinkedList<Integer> list = new LinkedList();,LinkedList list = new LinkedList<Integer>();,C,Java,declaration,multiple choice
219,"To declare a constant byte in Java, you should use the keyword:",final,static,constant,A,Java,declaration,multiple choice
220,What is the correct way to declare an array of strings in Java with initial values?,String[] names = new String[];,"String names[] = new String[]{""Alice"", ""Bob"", ""Charlie""};","String[] names = {""Alice"", ""Bob"", ""Charlie""};",C,Java,declaration,multiple choice
221,What is the correct way to initialize an array of integers in Java?,int[] arr = new int[];, int[] arr = new int[10];,"int arr[] = {1, 2, 3};",B,Java,data structures,multiple choice
222,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,Stack,LinkedList,Queue,C,Java,data structures,multiple choice
223,"To add an element to the end of an ArrayList in Java, you would use:",addFirst(),append(),add(),C,Java,data structures,multiple choice
224,What is the time complexity of adding an element to the end of an ArrayList in Java?,O(1),O(log N),O(N),A,Java,data structures,multiple choice
225,"In a binary search tree, which type of traversal visits the nodes in ascending order?",In-order,Pre-order,Post-order,A,Java,data structures,multiple choice
226,What is the correct way to remove an element at a specific index from an ArrayList in Java?,arr.delete(index);,arr.remove(index);,arr.removeElement(index);,B,Java,data structures,multiple choice
227,Which data structure in Java is implemented as a resizable array?,LinkedList,Stack,ArrayList,C,Java,data structures,multiple choice
228,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,Stack,Queue,Tree,C,Java,data structures,multiple choice
229,"To search for an element in a binary search tree, what is the time complexity in the average case?",O(1),O(log N),O(N),B,Java,data structures,multiple choice
230,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",BinaryTree,ArrayList,LinkedList,C,Java,data structures,multiple choice
231,"To find the number of elements in a LinkedList in Java, you would use which method?",size(),length(),getSize(),A,Java,data structures,multiple choice
232,"To find the number of elements in a LinkedList in Java, you would use which method?",size(),length(),count(),A,Java,data structures,multiple choice
233,What is the time complexity of searching for an element in an ArrayList in Java using the contains method?,O(1),O(log N),O(N),C,Java,data structures,multiple choice
234,"In a linked list, which operation allows you to insert a new element at the beginning efficiently?",append(),insertFirst(),addToEnd(),B,Java,data structures,multiple choice
235,"Which data structure in Java is used to store key-value pairs, allowing for fast retrieval of values based on their associated keys?",ArrayList,HashSet,HashMap,C,Java,data structures,multiple choice
236,"To remove the last element from a LinkedList in Java, you would use which method?",removeLast(),pop(),remove(),A,Java,data structures,multiple choice
237,What data structure in Java is used to ensure that elements are stored in sorted order?,HashSet,TreeSet,PriorityQueue,B,Java,data structures,multiple choice
238,What is the time complexity of adding an element to the beginning of an ArrayList in Java?,O(1),O(log N),O(N),C,Java,data structures,multiple choice
239,"Which data structure in Java is used to represent a collection of unique elements, and it does not allow duplicate values?",ArrayList,LinkedList,HashSet,C,Java,data structures,multiple choice
240,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,LinkedList,Stack,Queue,C,Java,data structures,multiple choice
