ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
20,What does the in keyword do in a for loop?,Checks for membership in a collection.,Defines the iteration variable.,Declares a new variable.,A,Python,control flow,multiple choice
21,"What is the correct way to assign a value of 5 to a variable named ""x"" in Python?",x = 5,5 = x,assign x 5,A,Python,declaration,multiple choice
22,How do you declare a constant variable in Python?,"Using ""const"" keyword",Constants cannot be declared in Python,Use uppercase letters for the variable name,B,Python,declaration,multiple choice
23,Which of the following is a valid Python function declaration?,def function_name(parameters):,function_name def(parameters):,function_name(parameters):,A,Python,declaration,multiple choice
24,"To declare and initialize an empty list in Python, you should use:",my_list = list(),my_list = new List(),my_list = [],C,Python,declaration,multiple choice
25,Which keyword is used to declare a function in Python?,func,def,function,B,Python,declaration,multiple choice
26,What is the correct way to declare an empty set in Python?,my_set = set(),my_set = {},my_set = [],B,Python,declaration,multiple choice
27,How can you declare an empty dictionary (key-value pair) in Python?,my_dict = hasmap(),my_dict = map(),my_dict = {},C,Python,declaration,multiple choice
28,"To declare and use a Python lambda function that adds two numbers, you would write:"," lambda (a, b): a + b","def lambda_function(a, b): return a + b","lambda_function(a, b): a + b",A,Python,declaration,multiple choice
29,Which keyword is used to declare a function with no explicit return value in Python?,null,void,None of these,C,Python,declaration,multiple choice
30,"To declare and use a Python generator that yields numbers, which keyword would you primarily use?",return ,yield,generate,B,Python,declaration,multiple choice
31,Which symbol or marker Python uses to denote a comment?,%%,##,# ,C,Python,declaration,multiple choice
32,"In Python, which of the following is used to indicate a block of code?",{},[],Indentation,C,Python,declaration,multiple choice
33,Which command is used to define a function in Python?,define,func,def,C,Python,declaration,multiple choice
34,"In Python, how do you declare a variable?",variable_name = value,var variable_name = value,declare variable_name = value,A,Python,declaration,multiple choice
35,What keyword is used to create a class in Python?,class,Class,def,A,Python,declaration,multiple choice
36,How do you indicate the end of a line of code in Python?,;,Nothing; Python automatically knows when a line of code ends.,\,B,Python,declaration,multiple choice
37,How do you declare a list in Python?,list = [],list(),list:[] ,A,Python,declaration,multiple choice
38,What is the proper way to import a module in Python?,import module,using module,load module,A,Python,declaration,multiple choice
39,How do you declare a constant in Python?,Python doesn’t support constants.,const variable = value,constant variable = value,A,Python,declaration,multiple choice
40,Which of the following is the correct way to declare a variable in Python?,var: integer = 5,int var = 5,myVar = 5,C,Python,declaration,multiple choice
41,Which of the following initializes an empty list?,list{},list[],[],C,Python,data structures,multiple choice
42,How do you initialize an empty set?,set(),{},set{},A,Python,data structures,multiple choice
43,Which of the following creates a dictionary with keys 'a' and 'b' having values 1 and 2 respectively?,"{'a': 1, 'b': 2}","['a': 1, 'b': 2]","('a': 1, 'b': 2)",A,Python,data structures,multiple choice
44,Which method is used to add an element to a set in Python?,append(),add(),insert(),B,Python,data structures,multiple choice
45," How do you access the value associated with the key 'a' in the dictionary dict = {'a': 1, 'b': 2}?",dict('a'),dict.a,dict['a'],C,Python,data structures,multiple choice
46,How can you remove the last element from a list named lst?,lst.pop(),lst.remove(),lst.delete(),A,Python,data structures,multiple choice
47,Which of these creates a list of numbers from 0 to 4?,range(4),"range(0, 4)",list(range(5)),C,Python,data structures,multiple choice
48,Which syntax is used to get all keys from a dictionary named dict?,dict.keys,dict.keys(),dict.getkeys(),B,Python,data structures,multiple choice
49,"How can you add multiple items ('c', 'd', and 'e') to a set named my_set?","my_set.add(['c', 'd', 'e'])","my_set.update(['c', 'd', 'e'])","my_set.append(['c', 'd', 'e'])",B,Python,data structures,multiple choice
50,"What will lst[-1] return if lst = [1, 2, 3, 4, 5]?",1,5,Error,B,Python,data structures,multiple choice
51,Which is the correct syntax to declare an empty tuple?,tuple(),(),tuple{},B,Python,data structures,multiple choice
52,How do you check if a list named lst contains the value 3?,3 in lst,lst.contains(3),lst.find(3),A,Python,data structures,multiple choice
53,Which of these will return the number of elements in a list named lst?,len(lst),lst.len(),lst.size(),A,Python,data structures,multiple choice
54,"What does list(set([1,2,2,3,4,4])) return?","[1,2,2,3,4,4]","[1,2,3,4]",Error,B,Python,data structures,multiple choice
55,How can you sort a list named lst in descending order?,lst.sort(reverse=True),lst.sort(descending=True),"sorted(lst, descending=True)",A,Python,data structures,multiple choice
56,Which function is used to randomly shuffle a list named lst?,random.shuffle(lst),lst.shuffle(),lst.randomize(),A,Python,data structures,multiple choice
57,Which of these statements correctly checks if a dictionary named dict has the key 'a'?,a' in dict,dict.has_key('a'),a' in dict.keys,A,Python,data structures,multiple choice
58,"How do you initialize a list with the same value, let's say 7, five times?","[7, 5]", [7] * 5,5 * [7],B,Python,data structures,multiple choice
59,"Which of the following is NOT a valid way to initialize a set with values 1, 2, and 3?","{1, 2, 3}","set(1, 2, 3)","set([1, 2, 3])",B,Python,data structures,multiple choice
60," If lst = [1, 2, 3], what will lst[1:2] return?",[2],"[1, 2]","[2, 3]",A,Python,data structures,multiple choice
61,Which of the following correctly checks if the value of x is between 5 and 10 (inclusive)?,null,null,null,if 5 <= x <= 10:,Python,control flow,flash card
62,How do you begin a for-loop that iterates over a list my_list?,null,null,null,for item in my_list:,Python,control flow,flash card
63,Which keyword is used to exit a loop prematurely?,null,null,null,break,Python,control flow,flash card
64,Which keyword lets you test a default condition if the previous conditions were not met?,null,null,null,else,Python,control flow,flash card
65,Which of the following correctly initializes a while loop that runs as long as x is less than 10?,null,null,null,while x < 10:,Python,control flow,flash card
66,Which of the following is the correct syntax for an else if condition?,null,null,null,elif condition:,Python,control flow,flash card
67,What does the continue keyword do in a loop?,null,null,null,Skips the current iteration and continues to the next.,Python,control flow,flash card
68,"What does the following code output? x = 10
if x > 10:
    print(""Greater"")
elif x < 10:
    print(""Lesser"")
else:
    print(""Equal"")",null,null,null,Equal,Python,control flow,flash card
69,"To iterate over a range of numbers from 1 to 5 (inclusive), which of the following would you use?",null,null,null,"for i in range(1, 6):",Python,control flow,flash card
70,How can you handle exceptions using control flow?,null,null,null,Using the except block.,Python,control flow,flash card
71,Which keyword is used to handle exceptions?,null,null,null,except,Python,control flow,flash card
72,"Which of the following is used to ensure a block of code always runs, regardless of exceptions?",null,null,null,finally:,Python,control flow,flash card
73,Which statement correctly checks multiple conditions using the and operator?,null,null,null,if x > 5 and y < 10:,Python,control flow,flash card
74,What does the pass statement do in Python?,null,null,null,Does nothing and acts as a placeholder.,Python,control flow,flash card
75,"In a try...except block, what does the else block do?",null,null,null,Runs if no exception occurs.,Python,control flow,flash card
76,Which of the following correctly checks if a variable x is not equal to 5?,null,null,null,if x != 5:,Python,control flow,flash card
77,"To iterate over the characters in a string word, which syntax would you use?",null,null,null,for char in word:,Python,control flow,flash card
78,Which of the following will print numbers 0 to 4?,null,null,null,for i in range(5): print(i),Python,control flow,flash card
79,Which operator checks if both conditions are false?,null,null,null,not,Python,control flow,flash card
80,What does the in keyword do in a for loop?,null,null,null,Checks for membership in a collection.,Python,control flow,flash card
81,"What is the correct way to assign a value of 5 to a variable named ""x"" in Python?",null,null,null,x = 5,Python,declaration,flash card
82,How do you declare a constant variable in Python?,null,null,null,Constants cannot be declared in Python,Python,declaration,flash card
83,Which of the following is a valid Python function declaration?,null,null,null,def function_name(parameters):,Python,declaration,flash card
84,"To declare and initialize an empty list in Python, you should use:",null,null,null,my_list = [],Python,declaration,flash card
85,Which keyword is used to declare a function in Python?,null,null,null,def,Python,declaration,flash card
86,What is the correct way to declare an empty set in Python?,null,null,null,my_set = {},Python,declaration,flash card
87,How can you declare an empty dictionary (key-value pair) in Python?,null,null,null,my_dict = {},Python,declaration,flash card
88,"To declare and use a Python lambda function that adds two numbers, you would write:",null,null,null," lambda (a, b): a + b",Python,declaration,flash card
89,Which keyword is used to declare a function with no explicit return value in Python?,null,null,null,None of these,Python,declaration,flash card
90,"To declare and use a Python generator that yields numbers, which keyword would you primarily use?",null,null,null,yield,Python,declaration,flash card
91,Which symbol or marker Python uses to denote a comment?,null,null,null,# ,Python,declaration,flash card
92,"In Python, which of the following is used to indicate a block of code?",null,null,null,Indentation,Python,declaration,flash card
93,Which command is used to define a function in Python?,null,null,null,def,Python,declaration,flash card
94,"In Python, how do you declare a variable?",null,null,null,variable_name = value,Python,declaration,flash card
95,What keyword is used to create a class in Python?,null,null,null,class,Python,declaration,flash card
96,How do you indicate the end of a line of code in Python?,null,null,null,Nothing; Python automatically knows when a line of code ends.,Python,declaration,flash card
97,How do you declare a list in Python?,null,null,null,list = [],Python,declaration,flash card
98,What is the proper way to import a module in Python?,null,null,null,import module,Python,declaration,flash card
99,How do you declare a constant in Python?,null,null,null,Python doesn’t support constants.,Python,declaration,flash card
100,Which of the following is the correct way to declare a variable in Python?,null,null,null,myVar = 5,Python,declaration,flash card
101,Which of the following initializes an empty list?,null,null,null,[],Python,data structures,flash card
102,How do you initialize an empty set?,null,null,null,set(),Python,data structures,flash card
103,Which of the following creates a dictionary with keys 'a' and 'b' having values 1 and 2 respectively?,null,null,null,"{'a': 1, 'b': 2}",Python,data structures,flash card
104,Which method is used to add an element to a set in Python?,null,null,null,add(),Python,data structures,flash card
105," How do you access the value associated with the key 'a' in the dictionary dict = {'a': 1, 'b': 2}?",null,null,null,dict['a'],Python,data structures,flash card
106,How can you remove the last element from a list named lst?,null,null,null,lst.pop(),Python,data structures,flash card
107,Which of these creates a list of numbers from 0 to 4?,null,null,null,list(range(5)),Python,data structures,flash card
108,Which syntax is used to get all keys from a dictionary named dict?,null,null,null,dict.keys(),Python,data structures,flash card
109,"How can you add multiple items ('c', 'd', and 'e') to a set named my_set?",null,null,null,"my_set.update(['c', 'd', 'e'])",Python,data structures,flash card
110,"What will lst[-1] return if lst = [1, 2, 3, 4, 5]?",null,null,null,5,Python,data structures,flash card
111,Which is the correct syntax to declare an empty tuple?,null,null,null,(),Python,data structures,flash card
112,How do you check if a list named lst contains the value 3?,null,null,null,3 in lst,Python,data structures,flash card
113,Which of these will return the number of elements in a list named lst?,null,null,null,len(lst),Python,data structures,flash card
114,"What does list(set([1,2,2,3,4,4])) return?",null,null,null,"[1,2,3,4]",Python,data structures,flash card
115,How can you sort a list named lst in descending order?,null,null,null,lst.sort(reverse=True),Python,data structures,flash card
116,Which function is used to randomly shuffle a list named lst?,null,null,null,random.shuffle(lst),Python,data structures,flash card
117,Which of these statements correctly checks if a dictionary named dict has the key 'a'?,null,null,null,a' in dict,Python,data structures,flash card
118,"How do you initialize a list with the same value, let's say 7, five times?",null,null,null, [7] * 5,Python,data structures,flash card
119,"Which of the following is NOT a valid way to initialize a set with values 1, 2, and 3?",null,null,null,"set(1, 2, 3)",Python,data structures,flash card
120," If lst = [1, 2, 3], what will lst[1:2] return?",null,null,null,[2],Python,data structures,flash card
121,Which of the following correctly checks if the value of x is between 5 and 10 (inclusive)?,if 5 <= x <= 10:,null,null,TRUE,Python,control flow,truefalse
122,How do you begin a for-loop that iterates over a list my_list?,for item in my_list:,null,null,TRUE,Python,control flow,truefalse
123,Which keyword is used to exit a loop prematurely?,break,null,null,TRUE,Python,control flow,truefalse
124,Which keyword lets you test a default condition if the previous conditions were not met?,else,null,null,TRUE,Python,control flow,truefalse
125,Which of the following correctly initializes a while loop that runs as long as x is less than 10?,while x < 10:,null,null,TRUE,Python,control flow,truefalse
126,Which of the following is the correct syntax for an else if condition?,elif condition:,null,null,TRUE,Python,control flow,truefalse
127,What does the continue keyword do in a loop?,Skips the current iteration and continues to the next.,null,null,TRUE,Python,control flow,truefalse
128,"What does the following code output? x = 10
if x > 10:
    print(""Greater"")
elif x < 10:
    print(""Lesser"")
else:
    print(""Equal"")",Equal,null,null,TRUE,Python,control flow,truefalse
129,"To iterate over a range of numbers from 1 to 5 (inclusive), which of the following would you use?","for i in range(1, 6):",null,null,TRUE,Python,control flow,truefalse
130,How can you handle exceptions using control flow?,Using the except block.,null,null,TRUE,Python,control flow,truefalse
131,Which of the following correctly checks if the value of x is between 5 and 10 (inclusive)?,if 5 < x < 10:,null,null,FALSE,Python,control flow,truefalse
132,How do you begin a for-loop that iterates over a list my_list?,loop item in my_list:,null,null,FALSE,Python,control flow,truefalse
133,Which keyword is used to exit a loop prematurely?,return,null,null,FALSE,Python,control flow,truefalse
134,Which keyword lets you test a default condition if the previous conditions were not met?,elsif,null,null,FALSE,Python,control flow,truefalse
135,Which of the following correctly initializes a while loop that runs as long as x is less than 10?,repeat while x < 10:,null,null,FALSE,Python,control flow,truefalse
136,Which of the following is the correct syntax for an else if condition?,elseif condition:,null,null,FALSE,Python,control flow,truefalse
137,What does the continue keyword do in a loop?,Stops and exits the loop.,null,null,FALSE,Python,control flow,truefalse
138,"What does the following code output? x = 10
if x > 10:
    print(""Greater"")
elif x < 10:
    print(""Lesser"")
else:
    print(""Equal"")",Greater,null,null,FALSE,Python,control flow,truefalse
139,"To iterate over a range of numbers from 1 to 5 (inclusive), which of the following would you use?","for i in range(1, 5):",null,null,FALSE,Python,control flow,truefalse
140,How can you handle exceptions using control flow?,Using the try block alone.,null,null,FALSE,Python,control flow,truefalse
141,"What is the correct way to assign a value of 5 to a variable named ""x"" in Python?",x = 5,null,null,TRUE,Python,declaration,truefalse
142,How do you declare a constant variable in Python?,Constants cannot be declared in Python,null,null,TRUE,Python,declaration,truefalse
143,Which of the following is a valid Python function declaration?,def function_name(parameters):,null,null,TRUE,Python,declaration,truefalse
144,"To declare and initialize an empty list in Python, you should use:",my_list = [],null,null,TRUE,Python,declaration,truefalse
145,Which keyword is used to declare a function in Python?,def,null,null,TRUE,Python,declaration,truefalse
146,What is the correct way to declare an empty set in Python?,my_set = {},null,null,TRUE,Python,declaration,truefalse
147,How can you declare an empty dictionary (key-value pair) in Python?,my_dict = {},null,null,TRUE,Python,declaration,truefalse
148,"To declare and use a Python lambda function that adds two numbers, you would write:"," lambda (a, b): a + b",null,null,TRUE,Python,declaration,truefalse
149,Which keyword is used to declare a function with no explicit return value in Python?,None of these,null,null,TRUE,Python,declaration,truefalse
150,"To declare and use a Python generator that yields numbers, which keyword would you primarily use?",yield,null,null,TRUE,Python,declaration,truefalse
151,"What is the correct way to assign a value of 5 to a variable named ""x"" in Python?",assign x 5,null,null,FALSE,Python,declaration,truefalse
152,How do you declare a constant variable in Python?,"Using ""const"" keyword",null,null,FALSE,Python,declaration,truefalse
153,Which of the following is a valid Python function declaration?,function_name(parameters):,null,null,FALSE,Python,declaration,truefalse
154,"To declare and initialize an empty list in Python, you should use:",my_list = list(),null,null,FALSE,Python,declaration,truefalse
155,Which keyword is used to declare a function in Python?,func,null,null,FALSE,Python,declaration,truefalse
156,What is the correct way to declare an empty set in Python?,my_set = set(),null,null,FALSE,Python,declaration,truefalse
157,How can you declare an empty dictionary (key-value pair) in Python?,my_dict = hasmap(),null,null,FALSE,Python,declaration,truefalse
158,"To declare and use a Python lambda function that adds two numbers, you would write:","lambda_function(a, b): a + b",null,null,FALSE,Python,declaration,truefalse
159,Which keyword is used to declare a function with no explicit return value in Python?,null,null,null,FALSE,Python,declaration,truefalse
160,"To declare and use a Python generator that yields numbers, which keyword would you primarily use?",return ,null,null,FALSE,Python,declaration,truefalse
161,Which of the following initializes an empty list?,[],null,null,TRUE,Python,data structures,truefalse
162,How do you initialize an empty set?,set(),null,null,TRUE,Python,data structures,truefalse
163,Which of the following creates a dictionary with keys 'a' and 'b' having values 1 and 2 respectively?,"{'a': 1, 'b': 2}",null,null,TRUE,Python,data structures,truefalse
164,Which method is used to add an element to a set in Python?,add(),null,null,TRUE,Python,data structures,truefalse
165," How do you access the value associated with the key 'a' in the dictionary dict = {'a': 1, 'b': 2}?",dict['a'],null,null,TRUE,Python,data structures,truefalse
166,How can you remove the last element from a list named lst?,lst.pop(),null,null,TRUE,Python,data structures,truefalse
167,Which of these creates a list of numbers from 0 to 4?,list(range(5)),null,null,TRUE,Python,data structures,truefalse
168,Which syntax is used to get all keys from a dictionary named dict?,dict.keys(),null,null,TRUE,Python,data structures,truefalse
169,"How can you add multiple items ('c', 'd', and 'e') to a set named my_set?","my_set.update(['c', 'd', 'e'])",null,null,TRUE,Python,data structures,truefalse
170,"What will lst[-1] return if lst = [1, 2, 3, 4, 5]?",5,null,null,TRUE,Python,data structures,truefalse
171,Which of the following initializes an empty list?,list{},null,null,FALSE,Python,data structures,truefalse
172,How do you initialize an empty set?,set{},null,null,FALSE,Python,data structures,truefalse
173,Which of the following creates a dictionary with keys 'a' and 'b' having values 1 and 2 respectively?,"('a': 1, 'b': 2)",null,null,FALSE,Python,data structures,truefalse
174,Which method is used to add an element to a set in Python?,append(),null,null,FALSE,Python,data structures,truefalse
175," How do you access the value associated with the key 'a' in the dictionary dict = {'a': 1, 'b': 2}?",dict('a'),null,null,FALSE,Python,data structures,truefalse
176,How can you remove the last element from a list named lst?,lst.delete(),null,null,FALSE,Python,data structures,truefalse
177,Which of these creates a list of numbers from 0 to 4?,range(4),null,null,FALSE,Python,data structures,truefalse
178,Which syntax is used to get all keys from a dictionary named dict?,dict.keys,null,null,FALSE,Python,data structures,truefalse
179,"How can you add multiple items ('c', 'd', and 'e') to a set named my_set?","my_set.add(['c', 'd', 'e'])",null,null,FALSE,Python,data structures,truefalse
180,"What will lst[-1] return if lst = [1, 2, 3, 4, 5]?",1,null,null,FALSE,Python,data structures,truefalse
181,Which of the following correctly checks if the value of x is between 5 and 10 (inclusive)?,null,null,null,if 5 <= x <= 10:,Python,control flow,fill in the blank
182,How do you begin a for-loop that iterates over a list my_list?,null,null,null,for item in my_list:,Python,control flow,fill in the blank
183,Which keyword is used to exit a loop prematurely?,null,null,null,break,Python,control flow,fill in the blank
184,Which keyword lets you test a default condition if the previous conditions were not met?,null,null,null,else,Python,control flow,fill in the blank
185,Which of the following correctly initializes a while loop that runs as long as x is less than 10?,null,null,null,while x < 10:,Python,control flow,fill in the blank
186,Which of the following is the correct syntax for an else if condition?,null,null,null,elif condition:,Python,control flow,fill in the blank
187,What does the continue keyword do in a loop?,null,null,null,Skips the current iteration and continues to the next.,Python,control flow,fill in the blank
188,"What does the following code output? x = 10
if x > 10:
    print(""Greater"")
elif x < 10:
    print(""Lesser"")
else:
    print(""Equal"")",null,null,null,Equal,Python,control flow,fill in the blank
189,"To iterate over a range of numbers from 1 to 5 (inclusive), which of the following would you use?",null,null,null,"for i in range(1, 6):",Python,control flow,fill in the blank
190,How can you handle exceptions using control flow?,null,null,null,Using the except block.,Python,control flow,fill in the blank
191,Which keyword is used to handle exceptions?,null,null,null,except,Python,control flow,fill in the blank
192,"Which of the following is used to ensure a block of code always runs, regardless of exceptions?",null,null,null,finally:,Python,control flow,fill in the blank
193,Which statement correctly checks multiple conditions using the and operator?,null,null,null,if x > 5 and y < 10:,Python,control flow,fill in the blank
194,What does the pass statement do in Python?,null,null,null,Does nothing and acts as a placeholder.,Python,control flow,fill in the blank
195,"In a try...except block, what does the else block do?",null,null,null,Runs if no exception occurs.,Python,control flow,fill in the blank
196,Which of the following correctly checks if a variable x is not equal to 5?,null,null,null,if x != 5:,Python,control flow,fill in the blank
197,"To iterate over the characters in a string word, which syntax would you use?",null,null,null,for char in word:,Python,control flow,fill in the blank
198,Which of the following will print numbers 0 to 4?,null,null,null,for i in range(5): print(i),Python,control flow,fill in the blank
199,Which operator checks if both conditions are false?,null,null,null,not,Python,control flow,fill in the blank
200,What does the in keyword do in a for loop?,null,null,null,Checks for membership in a collection.,Python,control flow,fill in the blank
201,"What is the correct way to assign a value of 5 to a variable named ""x"" in Python?",null,null,null,x = 5,Python,declaration,fill in the blank
202,How do you declare a constant variable in Python?,null,null,null,Constants cannot be declared in Python,Python,declaration,fill in the blank
203,Which of the following is a valid Python function declaration?,null,null,null,def function_name(parameters):,Python,declaration,fill in the blank
204,"To declare and initialize an empty list in Python, you should use:",null,null,null,my_list = [],Python,declaration,fill in the blank
205,Which keyword is used to declare a function in Python?,null,null,null,def,Python,declaration,fill in the blank
206,What is the correct way to declare an empty set in Python?,null,null,null,my_set = {},Python,declaration,fill in the blank
207,How can you declare an empty dictionary (key-value pair) in Python?,null,null,null,my_dict = {},Python,declaration,fill in the blank
208,"To declare and use a Python lambda function that adds two numbers, you would write:",null,null,null," lambda (a, b): a + b",Python,declaration,fill in the blank
209,Which keyword is used to declare a function with no explicit return value in Python?,null,null,null,None of these,Python,declaration,fill in the blank
210,"To declare and use a Python generator that yields numbers, which keyword would you primarily use?",null,null,null,yield,Python,declaration,fill in the blank
211,Which symbol or marker Python uses to denote a comment?,null,null,null,# ,Python,declaration,fill in the blank
212,"In Python, which of the following is used to indicate a block of code?",null,null,null,Indentation,Python,declaration,fill in the blank
213,Which command is used to define a function in Python?,null,null,null,def,Python,declaration,fill in the blank
214,"In Python, how do you declare a variable?",null,null,null,variable_name = value,Python,declaration,fill in the blank
215,What keyword is used to create a class in Python?,null,null,null,class,Python,declaration,fill in the blank
216,How do you indicate the end of a line of code in Python?,null,null,null,Nothing; Python automatically knows when a line of code ends.,Python,declaration,fill in the blank
217,How do you declare a list in Python?,null,null,null,list = [],Python,declaration,fill in the blank
218,What is the proper way to import a module in Python?,null,null,null,import module,Python,declaration,fill in the blank
219,How do you declare a constant in Python?,null,null,null,Python doesn’t support constants.,Python,declaration,fill in the blank
220,Which of the following is the correct way to declare a variable in Python?,null,null,null,myVar = 5,Python,declaration,fill in the blank
221,Which of the following initializes an empty list?,null,null,null,[],Python,data structures,fill in the blank
222,How do you initialize an empty set?,null,null,null,set(),Python,data structures,fill in the blank
223,Which of the following creates a dictionary with keys 'a' and 'b' having values 1 and 2 respectively?,null,null,null,"{'a': 1, 'b': 2}",Python,data structures,fill in the blank
224,Which method is used to add an element to a set in Python?,null,null,null,add(),Python,data structures,fill in the blank
225," How do you access the value associated with the key 'a' in the dictionary dict = {'a': 1, 'b': 2}?",null,null,null,dict['a'],Python,data structures,fill in the blank
226,How can you remove the last element from a list named lst?,null,null,null,lst.pop(),Python,data structures,fill in the blank
227,Which of these creates a list of numbers from 0 to 4?,null,null,null,list(range(5)),Python,data structures,fill in the blank
228,Which syntax is used to get all keys from a dictionary named dict?,null,null,null,dict.keys(),Python,data structures,fill in the blank
229,"How can you add multiple items ('c', 'd', and 'e') to a set named my_set?",null,null,null,"my_set.update(['c', 'd', 'e'])",Python,data structures,fill in the blank
230,"What will lst[-1] return if lst = [1, 2, 3, 4, 5]?",null,null,null,5,Python,data structures,fill in the blank
231,Which is the correct syntax to declare an empty tuple?,null,null,null,(),Python,data structures,fill in the blank
232,How do you check if a list named lst contains the value 3?,null,null,null,3 in lst,Python,data structures,fill in the blank
233,Which of these will return the number of elements in a list named lst?,null,null,null,len(lst),Python,data structures,fill in the blank
234,"What does list(set([1,2,2,3,4,4])) return?",null,null,null,"[1,2,3,4]",Python,data structures,fill in the blank
235,How can you sort a list named lst in descending order?,null,null,null,lst.sort(reverse=True),Python,data structures,fill in the blank
236,Which function is used to randomly shuffle a list named lst?,null,null,null,random.shuffle(lst),Python,data structures,fill in the blank
237,Which of these statements correctly checks if a dictionary named dict has the key 'a'?,null,null,null,a' in dict,Python,data structures,fill in the blank
238,"How do you initialize a list with the same value, let's say 7, five times?",null,null,null, [7] * 5,Python,data structures,fill in the blank
239,"Which of the following is NOT a valid way to initialize a set with values 1, 2, and 3?",null,null,null,"set(1, 2, 3)",Python,data structures,fill in the blank
240," If lst = [1, 2, 3], what will lst[1:2] return?",null,null,null,[2],Python,data structures,fill in the blank
241,"What is the output of the following code snippet?
int i = 0;
while (i < 5) {
    System.out.print(i);
    i++;
}",null,null,null,01234,Java,control flow,flash card
242,"In Java, which loop is suitable for situations where the loop body needs to execute at least once?",null,null,null,do-while loop,Java,control flow,flash card
243,What is the primary purpose of the break statement in Java?,null,null,null,To exit the current loop or switch statement,Java,control flow,flash card
244,"When a variable is declared inside a method, in what scope is it accessible?",null,null,null,Method scope,Java,control flow,flash card
245,Which of the following statements is true about recursion in Java?,null,null,null,Recursion can lead to a stack overflow if not handled properly.,Java,control flow,flash card
246,"What is the output of the following code snippet?
for (int i = 0; i < 5; i++) {
    if (i % 2 == 0) {
        continue;
    }
    System.out.print(i);
}",null,null,null,135,Java,control flow,flash card
247,"In Java, which statement is used to define a constant variable?",null,null,null,final,Java,control flow,flash card
248,What is the purpose of the default case in a Java switch statement?,null,null,null,It is executed when none of the cases match.,Java,control flow,flash card
249,What does the this keyword refer to in Java?,null,null,null,The current class instance,Java,control flow,flash card
250,Which loop construct is used for iterating over elements in an array or collection in Java?,null,null,null,for-each loop,Java,control flow,flash card
251,What is the main difference between the while loop and the do-while loop in Java?,null,null,null,The do-while loop always executes its body at least once.,Java,control flow,flash card
252,What is the scope of a local variable declared inside a for loop in Java?,null,null,null,Block scope,Java,control flow,flash card
253,"In Java, what is the purpose of the continue statement within a loop?",null,null,null,To skip the current iteration and continue with the next,Java,control flow,flash card
254,Which keyword is used to exit from a loop prematurely in Java?,null,null,null,break,Java,control flow,flash card
255,"In a Java for loop, what are the three components usually separated by semicolons?",null,null,null,"Initialization, condition, increment",Java,control flow,flash card
256,Which of the following is true about the switch statement in Java?,null,null,null,Each case block requires a break statement.,Java,control flow,flash card
257,What does the void keyword represent in Java?,null,null,null,It indicates a method returns nothing.,Java,control flow,flash card
258,"In Java, what is the primary role of the else keyword in an if-else statement?",null,null,null,To define an alternative set of actions if the if condition is false.,Java,control flow,flash card
